Vehicle Name,URL,Wheel Base,Ground Clearance,Overall Width,Overall Height,Overall Length
Ashok Leyland Boss 1215,https://trucksfloor.com/en/ashok-leyland-truck/boss-1215,3900 / 4500 / 4900 / 5200 mm,260 mm,2210 / 2270 mm,2640 mm,7328 mm
Ashok Leyland Boss 1315,https://trucksfloor.com/en/ashok-leyland-truck/boss-1315,3400 / 3900 / 4500 / 4900 / 5200 mm,230 mm,2210 / 2270 mm,2640 mm,6422 mm
Ashok Leyland Boss 1415,https://trucksfloor.com/en/ashok-leyland-truck/boss-1415,3400 / 3900 / 4500 / 4900 / 5200 mm,230 mm,2210 / 2270 mm,2670 mm,6422 mm
Ashok leyland 1916 HH 4x2,https://trucksfloor.com/en/ashok-leyland-truck/1916-hh-4x2,4350 / 4800 mm,241 mm,2470 mm,2700 mm,7836 mm
Ashok leyland AVTR 1920 4X2,https://trucksfloor.com/en/ashok-leyland-truck/avtr-1920-4x2,4350 / 6600 mm,260 mm,2570 mm,2987 / 3177 mm,7910 mm
Ashok leyland AVTR 1920 4X2 Tipper,https://trucksfloor.com/en/ashok-leyland-truck/avtr-1920-4x2-tipper,3100 / 3600 mm,260 mm,2470 mm,3165 mm,6335 mm
Ashok leyland AVTR 2620 6x2,https://trucksfloor.com/en/ashok-leyland-truck/avtr-2620-6x2,5130 / 6180 mm,253 mm,2570 mm,2987 / 3177 mm,9710 mm
Ashok leyland AVTR 2820 6x4 Tipper,https://trucksfloor.com/en/ashok-leyland-truck/avtr-2820-6x4-tipper,3900 / 4600 mm,253 mm,2570 mm,2987 mm,9710 mm
Ashok leyland AVTR 3120 6x2,https://trucksfloor.com/en/ashok-leyland-truck/avtr-3120-6x2,4930 / 5980 mm,253 mm,2570 mm,2987 / 3177 mm,9710 mm
Ashok leyland AVTR 3520 8x2 LA,https://trucksfloor.com/en/ashok-leyland-truck/avtr-3520-8x2-la,5450 / 6600 mm,250 mm,2570 mm,2987 / 3177 mm,10360 mm
Ashok leyland AVTR 3520 8x2 TS,https://trucksfloor.com/en/ashok-leyland-truck/avtr-3520-8x2-ts,6000 / 6600 mm,250 mm,2570 mm,2987 / 3177 mm,10360 mm
Ashok leyland AVTR 4120 8x2,https://trucksfloor.com/en/ashok-leyland-truck/avtr-4120-8x2,6000 / 6600 mm,253 mm,2570 mm,2987 / 3177 mm,10960 mm
Ashok leyland AVTR 4125 8x2,https://trucksfloor.com/en/ashok-leyland-truck/avtr-4125-8x2,6000 mm,253 mm,2570 mm,3177 mm,10960 mm
Ashok leyland AVTR 4220 10x2 Tipper,https://trucksfloor.com/en/ashok-leyland-truck/avtr-4220-10x2-tipper,6600 mm,253 mm,2570 mm,3165 mm,10960 mm
Ashok leyland AVTR 4220 4x2,https://trucksfloor.com/en/ashok-leyland-truck/avtr-4220-4x2,3400 mm,260 mm,2570 mm,3247 mm,5950 mm
Ashok leyland AVTR 4225 10x2,https://trucksfloor.com/en/ashok-leyland-truck/avtr-4225-10x2,6600 mm,253 mm,2570 mm,3110 mm,10960 mm
Ashok leyland AVTR 4225 4x2,https://trucksfloor.com/en/ashok-leyland-truck/avtr-4225-4x2,3400 mm,260 mm,2570 mm,3177 mm,5950 mm
Ashok leyland AVTR 4420 4x2,https://trucksfloor.com/en/ashok-leyland-truck/avtr-4420-4x2,3400 mm,260 mm,2570 mm,3247 mm,5950 mm
Ashok leyland AVTR 4425 4x2,https://trucksfloor.com/en/ashok-leyland-truck/avtr-4425-4x2,3400 mm,260 mm,2570 mm,3177 mm,5950 mm
Ashok leyland AVTR 4825 10x2,https://trucksfloor.com/en/ashok-leyland-truck/avtr-4825-10x2,6600 mm,,2570 mm,3110 mm,10900 mm
Ashok leyland AVTR 5225 4x2,https://trucksfloor.com/en/ashok-leyland-truck/avtr-5225-4x2,3400 mm,260 mm,2570 mm,3247 mm,5950 mm
Ashok leyland AVTR 5425 4x2,https://trucksfloor.com/en/ashok-leyland-truck/avtr-5425-4x2,3400 mm,260 mm,2570 mm,3247 mm,5950 mm
Ashok leyland AVTR 5525 4x2,https://trucksfloor.com/en/ashok-leyland-truck/avtr-5525-4x2,3400 mm,260 mm,2570 mm,3247 mm,5950 mm
Ashok leyland AVTR 5525 6x4,https://trucksfloor.com/en/ashok-leyland-truck/avtr-5525-6x4,3900 mm,250 mm,2570 mm,2987 / 3177 mm,6900 mm
Ashok Leyland ecomet 1415 TE,https://trucksfloor.com/en/ashok-leyland-truck/ecomet-1415-te,3250 mm,270 mm,2207 / 2396 mm,3000 mm,5778 mm
Ashok leyland AVTR UF 3522 LNG,https://trucksfloor.com/en/ashok-leyland-truck/avtr-uf-3522-lng,6000 / 6600 mm,253 mm,2570 mm,3145 / 3110 mm,9710 mm
Eicher pro 3019,https://trucksfloor.com/en/eicher-truck/hdt-pro-3019,4490 / 5490 / 6690 mm,258 mm,2332 mm,2722 mm,8380 mm
Mahindra Bolero Camper,https://trucksfloor.com/en/mahindra-truck/bolero-camper,3014 mm,185 / 191 mm,1670 mm,1855 mm,4859 mm
Bharat Benz 1617R,https://trucksfloor.com/en/bharat-benz-truck/mdt-1617r,5100 / 5900 / 6700 mm,270 mm,2457 mm,2600 mm,8600 mm
Eicher pro 6035,https://trucksfloor.com/en/eicher-truck/hdt-pro-6035,5800 / 6800 mm,235 mm,2510 mm,2940 mm,7851 mm
Bharat Benz 1217C,https://trucksfloor.com/en/bharat-benz-truck/mdt-1217c,3160 mm,245 mm,2135 mm,2420 mm,5435 mm
Eicher pro 6040,https://trucksfloor.com/en/eicher-truck/hdt-pro-6040,3200 mm,285 mm,2560 mm,2915 mm,5455 mm
Eicher pro 6055XP,https://trucksfloor.com/en/eicher-truck/hdt-pro-6055xp,4050 / 4085 mm,220 mm,2528 mm,2915 mm,7093 mm
Eicher pro 6048XP,https://trucksfloor.com/en/eicher-truck/hdt-pro-6048xp,6800 mm,235 mm,2510 mm,2940 mm,11235 mm
Mahindra Bolero Pik-up,https://trucksfloor.com/en/mahindra-truck/bolero-pik-up,3264 / 3014 mm,200 mm,1700 mm,1865 mm,5219 mm
Maruti Suzuki Super Carry CNG,https://trucksfloor.com/en/maruti-suzuki-truck/super-carry-cng,2110 mm,175 mm,1562 mm,1883 mm,3800 mm
SML ISUZU Sartaj 5252 CNG,https://trucksfloor.com/en/sml-isuzu-truck/sartaj-5252-cng,2515 mm,190 mm,1975 mm,580 mm,4489 mm
Bharat Benz 1217R,https://trucksfloor.com/en/bharat-benz-truck/mdt-1217r,3360 / 3760 / 4250 / 4800 / 5050 mm,245 mm,2420 mm,2500 mm,6380 mm
